titre,url,date,categorie
"C’est parti : les poids de Kimi K3, plus gros modèle IA ouvert au monde, sont en ligne",https://www.numerama.com/tech/2302499-cest-parti-les-poids-de-kimi-k3-plus-gros-modele-ia-ouvert-au-monde-sont-en-ligne.html,27.07.2026 17:00,tech
Final Fantasy VII est finalement l’épisode le moins compliqué à remaker,https://www.numerama.com/pop-culture/2302449-final-fantasy-vii-est-finalement-lepisode-le-moins-complique-a-remaker.html,27.07.2026 16:22,pop-culture
Le vol 13 du lanceur ultra lourd Starship filmé par des drones et des caméras haute vitesse,https://www.numerama.com/sciences/2302421-le-vol-13-du-lanceur-ultra-lourd-starship-filme-par-des-drones-et-des-cameras-haute-vitesse.html,27.07.2026 16:01,sciences
"Apple TV dévoile le trailer de Neuromancien, l’adaptation de l’œuvre qui a défini le cyberpunk",https://www.numerama.com/pop-culture/2302235-apple-tv-devoile-le-trailer-de-neuromancien-ladaptation-de-loeuvre-qui-a-defini-le-cyberpunk.html,27.07.2026 14:20,pop-culture
La saison la plus violente de la série ? Reacher Saison 4 dévoile son trailer !,https://www.numerama.com/pop-culture/2302141-la-saison-la-plus-violente-de-la-serie-reacher-saison-4-devoile-son-trailer.html,27.07.2026 13:55,pop-culture
RecordPy propose une carte mise à jour toutes les 10 minutes pour suivre les incendies en Gironde,https://www.numerama.com/sciences/2302189-incendies-en-gironde-recordpy-propose-une-carte-mise-a-jour-toutes-les-10-minutes-pour-suivre-les-feux.html,,sciences
Pourquoi ces marmottes se lancent sur OnlyFans ?,https://www.numerama.com/sciences/2301015-pourquoi-ces-marmottes-se-lancent-sur-onlyfans.html,,sciences
"Le top 10 des séries les plus regardées au premier semetre 2026, votre série favorite est t-elle dedans ?",https://www.numerama.com/pop-culture/2300327-audiences-netflix-le-top-10-des-series-les-plus-regardees-en-2026-est-surprenant.html,,pop-culture
Incendies en Gironde : la SNCF prolonge les échanges et remboursements gratuits des billets de train,https://www.numerama.com/vroom/2302281-incendies-en-gironde-la-sncf-prolonge-les-echanges-et-remboursements-gratuits-des-billets-de-train.html,,vroom
Votre visage comme mot de passe en cas de coup dur : Google lance la connexion par selfie vidéo,https://www.numerama.com/cyberguerre/2300251-votre-visage-comme-mot-de-passe-en-cas-de-coup-dur-google-lance-la-connexion-par-selfie-video.html,,cyberguerre
"J’ai essayé le DS N°7 : beaucoup de potentiel face aux Allemands, mais une base technique qui fait douter",https://www.numerama.com/vroom/2298113-jai-essaye-le-ds-n7-beaucoup-de-potentiel-face-aux-allemands-mais-une-base-technique-qui-fait-douter.html,,vroom
Plus de 70 000 commandes : le groupe Volkswagen cartonne déjà avec ses citadines pas chères,https://www.numerama.com/vroom/2302263-plus-de-70-000-commandes-le-groupe-volkswagen-cartonne-deja-avec-ses-citadines-pas-cheres.html,27.07.2026 13:33,vroom
"3,1 fois moins d’accidents : les taxis autonomes de Waymo conduisent mieux que vous",https://www.numerama.com/vroom/2301993-31-fois-moins-daccidents-les-taxis-autonomes-de-waymo-conduisent-mieux-que-vous.html,27.07.2026 12:05,vroom
Ce pack de 4 balises Bluetooth Android est moins cher qu’un seul SmartTag de Samsung,https://www.numerama.com/tech/2302169-ce-pack-de-4-balises-bluetooth-android-est-moins-cher-quun-seul-smarttag-de-samsung.html,27.07.2026 11:53,tech
"Les dates des prochains films Marvel sont là, jusqu’en 2028",https://www.numerama.com/pop-culture/2301983-le-calendrier-complet-des-films-marvel-a-venir-ca-sannonce-charge-entre-avengers-et-black-panther-3.html,27.07.2026 11:40,pop-culture
Apple lance AppleCare One en France : à quoi sert ce nouvel abonnement ?,https://www.numerama.com/tech/2302049-apple-lance-applecare-one-en-france-a-quoi-sert-ce-nouvel-abonnement.html,27.07.2026 11:35,tech
"« Nous n’avons pas de temps à perdre », le patron de Volkswagen appelle l’UE à taxer les hybrides rechargeables chinois",https://www.numerama.com/vroom/2302055-nous-navons-pas-de-temps-a-perdre-le-patron-de-volkswagen-appelle-lue-a-taxer-les-hybrides-rechargeables-chinois.html,27.07.2026 11:05,vroom
Panique autour des conversations Claude indexées sur Google : ce qu’on a vraiment trouvé,https://www.numerama.com/cyberguerre/2302001-panique-autour-des-conversations-claude-indexees-sur-google-ce-quon-a-vraiment-trouve.html,27.07.2026 10:48,cyberguerre
"On va avoir un jeu Resident Evil par an, mais il y a un mais",https://www.numerama.com/pop-culture/2301991-capcom-veut-sortir-un-jeu-resident-evil-par-an-et-mise-surtout-sur-des-remakes.html,27.07.2026 10:32,pop-culture
"Varta, célèbre fabricant de piles, dépose le bilan après avoir perdu son contrat avec Apple",https://www.numerama.com/tech/2301971-varta-celebre-fabricant-de-piles-depose-le-bilan-apres-avoir-perdu-son-contrat-avec-apple.html,27.07.2026 10:09,tech
