id,libelle,cours,variation,volume,isin,url,scraped_at
25,ALTEN,79.7,19.31,206784,FR0000071946,https://www.boursorama.com/cours/1rPATE/,"2026-07-29 14:25:55"
24,"SOPRA STERIA",198.5,15.27,194165,FR0000050809,https://www.boursorama.com/cours/1rPSOP/,"2026-07-29 14:25:54"
23,KERING,285.1,13.81,570601,FR0000121485,https://www.boursorama.com/cours/1rPKER/,"2026-07-29 14:25:53"
22,"BUREAU VERITAS",29.53,8.09,1386867,FR0006174348,https://www.boursorama.com/cours/1rPBVI/,"2026-07-29 14:25:52"
21,"ATOS GROUP",33.98,6.45,150171,FR001400X2S4,https://www.boursorama.com/cours/1rPATO/,"2026-07-29 14:25:51"
20,CAPGEMINI,107.55,5.75,627229,FR0000125338,https://www.boursorama.com/cours/1rPCAP/,"2026-07-29 14:25:50"
19,STELLANTIS,5.304,4.59,4344752,NL00150001Q9,https://www.boursorama.com/cours/1rPSTLAP/,"2026-07-29 14:25:48"
18,MEDINCELL,26.32,4.28,133551,FR0004065605,https://www.boursorama.com/cours/1rPMEDCL/,"2026-07-29 14:25:47"
17,NEXANS,129.3,4.19,171949,FR0000044448,https://www.boursorama.com/cours/1rPNEX/,"2026-07-29 14:25:46"
16,RENAULT,28.16,3.72,655209,FR0000131906,https://www.boursorama.com/cours/1rPRNO/,"2026-07-29 14:25:45"
15,TELEPERFORMANCE,62.04,3.4,132119,FR0000051807,https://www.boursorama.com/cours/1rPTEP/,"2026-07-29 14:25:43"
14,WENDEL,84.2,3.12,20549,FR0000121204,https://www.boursorama.com/cours/1rPMF/,"2026-07-29 14:25:42"
13,SEB,59.3,3.04,56958,FR0000121709,https://www.boursorama.com/cours/1rPSK/,"2026-07-29 14:25:42"
12,UBISOFT,5.626,2.78,531765,FR0000054470,https://www.boursorama.com/cours/1rPUBI/,"2026-07-29 14:25:40"
11,TOTALENERGIES,75.81,2.75,1606328,FR0000120271,https://www.boursorama.com/cours/1rPTTE/,"2026-07-29 14:25:39"
10,JCDECAUX,22.66,2.63,119183,FR0000077919,https://www.boursorama.com/cours/1rPDEC/,"2026-07-29 14:25:37"
9,CLARIANE,4.07,2.62,141139,FR0010386334,https://www.boursorama.com/cours/1rPCLARI/,"2026-07-29 14:25:36"
8,"BOLLORE SE",4.078,2.57,455331,FR0000039299,https://www.boursorama.com/cours/1rPBOL/,"2026-07-29 14:25:35"
7,VUSION,133.6,2.53,51874,FR0010282822,https://www.boursorama.com/cours/1rPVU/,"2026-07-29 14:25:34"
6,"GTT (GAZTRANSPORT ET TEC.)",190.4,2.37,53224,FR0011726835,https://www.boursorama.com/cours/1rPGTT/,"2026-07-29 14:25:32"
5,EDENRED,28.83,2.31,297371,FR0010908533,https://www.boursorama.com/cours/1rPEDEN/,"2026-07-29 14:25:31"
4,IPSOS,42.86,2.29,81929,FR0000073298,https://www.boursorama.com/cours/1rPIPS/,"2026-07-29 14:25:30"
3,EMEIS,13.91,2.28,58139,FR001400NLM4,https://www.boursorama.com/cours/1rPEMEIS/,"2026-07-29 14:25:29"
2,VIVENDI,2.026,2.07,715109,FR0000127771,https://www.boursorama.com/cours/1rPVIV/,"2026-07-29 14:25:28"
1,"DBV TECHNOLOGIES",2.416,1.85,619542,FR0010417345,https://www.boursorama.com/cours/1rPDBV/,"2026-07-29 14:25:26"
