titre,url,categorie
Mégafeu en Gironde : 5 millions de masques FFP2 livrés en pharmacie pour protéger les habitants exposés aux fumées,https://www.nicematin.com/sante/megafeu-en-gironde-5-millions-de-masques-ffp2-livres-en-pharmacie-pour-proteger-les-habitants-exposes-aux-fumees-10696801,France - Santé
"« Nous sommes à bout de souffle » : après 34 opérations de nettoyage dans les Alpes-Maritimes, cette association écologique effectue sa toute dernière mission au-dessus de Grasse",https://www.nicematin.com/environnement/nous-sommes-a-bout-de-souffle-apres-34-operations-de-nettoyage-dans-les-alpes-maritimes-cette-association-ecologique-effectue-sa-toute-derniere-mission-au-dessus-de-grasse-10696503,Roquefort-les-Pins - Environnement
"À Tende, le salon du « vrai vin » réunit des vignerons artisans venus de plusieurs pays d’Europe",https://www.nicematin.com/loisirs/gastronomie/a-tende-le-salon-du-vrai-vin-reunit-des-vignerons-artisans-venus-de-plusieurs-pays-d-europe-10696636,Tende - Gastronomie
"Intrusion dans une école à Nice : l’individu présenté à la justice, pas d’apologie du terrorisme retenue",https://www.nicematin.com/societe/justice/intrusion-dans-une-ecole-a-nice-l-individu-presente-a-la-justice-pas-d-apologie-du-terrorisme-retenue-10696783,Nice - Justice
"Décès d’une jeune femme dans un centre d’esthétique à Nice : l’enquête s’oriente vers l’injection illicite d’un produit anesthésique, on fait le point",https://www.nicematin.com/faits-divers/deces-d-une-jeune-femme-dans-un-centre-d-esthetique-a-nice-l-enquete-s-oriente-vers-l-injection-illicite-d-un-produit-anesthesique-on-fait-le-point-10696701,Nice - Faits divers
"Incendies : grâce à son super flair, le chien Goliath permet d’établir si un feu est accidentel ou criminel",https://www.nicematin.com/societe/animaux/incendies-grace-a-son-super-flair-le-chien-goliath-permet-d-etablir-si-un-feu-est-accidentel-ou-criminel-10696689,France - Animaux
"« À une minute près, on ne sauvait pas ces maisons du feu » : le témoignage du capitaine Yann Demaria, chef de la caserne des pompiers de Pégomas sur les incendies dans le Var",https://www.nicematin.com/societe/temoignage/a-une-minute-pres-on-ne-sauvait-pas-ces-maisons-du-feu-le-temoignage-du-capitaine-yann-demaria-chef-de-la-caserne-des-pompiers-de-pegomas-sur-les-incendies-dans-le-var-10696198,Pégomas - Témoignage
"« Il reste prostré » : les premières images des dauphins de Marineland dans leur bassin en Espagne, vive inquiétude des associations pour un dauphin",https://www.nicematin.com/societe/animaux/il-reste-prostre-les-premieres-images-des-dauphins-de-marineland-dans-leur-bassin-en-espagne-vive-inquietude-des-associations-pour-un-dauphin-10696024,Antibes - Animaux
Du port Gallice aux yachts au mouillage : la grande aventure de la livraison par drone démarre à Juan-les-Pins,https://www.nicematin.com/societe/technologie/du-port-gallice-aux-yachts-au-mouillage-la-grande-aventure-de-la-livraison-par-drone-demarre-a-juan-les-pins-10694514,Antibes - Technologie
"« Ici, il avait déjà un potentiel d’entraîneur exceptionnel » : David Bettoni, l’ami pour la vie de Zinédine Zidane, raconté par deux anciens proches de l’AS Cannes",https://www.nicematin.com/sports/football/ici-il-avait-deja-un-potentiel-d-entraineur-exceptionnel-david-bettoni-l-ami-pour-la-vie-de-zinedine-zidane-raconte-par-deux-anciens-proches-de-l-as-cannes-10694274,Cannes - Football
