titre,url,source,date_publi,resume,score_alerte,entreprise
"Amadeus beats profit forecasts, trims 2026 revenue outlook",http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6a6e5ccc72e2429c9c75efdd2bbbd4fe&url=https%3a%2f%2fwww.msn.com%2fen-gb%2fmoney%2fgeneral%2famadeus-beats-profit-forecasts-trims-2026-revenue-outlook%2far-AA297XPC&c=4718576898092819457&mkt=fr-fr,Bing News,"Fri, 31 Jul 2026 01:10:06 GMT","By Javi West Larrañaga and Gemma Guasch July 31 (Reuters) - Amadeus beat second-quarter profit expectations on Friday, although the travel technology company trimmed its 2026 revenue outlook after the ...",2,Amadeus
Amadeus Lowers Revenue Expectations Following Q2 Air Bookings Decline,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6a6e5ccc72e2429c9c75efdd2bbbd4fe&url=https%3a%2f%2fwww.businesstravelnews.com%2fIntelligence%2fAmadeus-Lowers-Revenue-Expectations-Following-Q2-Air-Bookings-Decline&c=17127412726052168288&mkt=fr-fr,Bing News,"Thu, 30 Jul 2026 21:00:00 GMT","Amadeus has tempered its expectations for the year after second-quarter air bookings dipped by 7.6 percent year over year, due largely to unrest in the Middle East, the company announced Friday.",1,Amadeus
Amadeus picks up €1.2B loan to fund Idemia PS acquisition,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6a6e5ccc72e2429c9c75efdd2bbbd4fe&url=https%3a%2f%2fwww.biometricupdate.com%2f202607%2famadeus-picks-up-e1-2b-loan-to-fund-idemia-ps-acquisition&c=15070508589374441887&mkt=fr-fr,Bing News,"Thu, 23 Jul 2026 07:44:00 GMT",Amadeus IT Group has formalized the acquisition of Idemia Public Security with a bid of 1.2 billion euros plus an earn-out worth up to €150 million.,2,Amadeus
Expedia Group to Integrate Amadeus NDC Content,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6a6e5ccc72e2429c9c75efdd2bbbd4fe&url=https%3a%2f%2fwww.businesstravelnews.com%2fDistribution%2fExpedia-Group-to-Integrate-Amadeus-NDC-Content&c=3741463550368979669&mkt=fr-fr,Bing News,"Mon, 01 Apr 2024 20:59:00 GMT",Expedia Group will deploy Amadeus' New Distribution Capability technology and integrate its NDC content into its portfolio as part of an expanded strategic partnership with the travel technology ...,0,Amadeus
Amadeus IT Group: The Valuation Is Now Too Cheap To Ignore,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6a6e5ccc72e2429c9c75efdd2bbbd4fe&url=https%3a%2f%2fseekingalpha.com%2farticle%2f4923403-amadeus-it-group-stock-valuation-now-too-cheap-to-ignore&c=13804460477451354898&mkt=fr-fr,Bing News,"Mon, 20 Jul 2026 08:30:00 GMT",Amadeus IT Group is evolving into a fully integrated travel company through its €1.2B acquisition of IDEMIA Public Security. Read more on AMADF stock here.,2,Amadeus
Amadeus reports fall in airline GDS bookings leading to profit decline,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6a6e5ccc72e2429c9c75efdd2bbbd4fe&url=https%3a%2f%2ftravelweekly.co.uk%2fnews%2famadeus-reports-fall-in-airline-gds-bookings-leading-to-profit-decline&c=1987654148466976224&mkt=fr-fr,Bing News,"Fri, 31 Jul 2026 05:50:00 GMT","Amadeus reported a near 4% fall in airline bookings year on year in the six months to June, resulting in a similar fall in profits due to the crisis in the Middle East, and warned the continuing ...",1,Amadeus
Amadeus invests in AI specialist Acai Travel,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6a6e5ccc72e2429c9c75efdd2bbbd4fe&url=https%3a%2f%2fwww.businesstravelnewseurope.com%2fTechnology%2fAmadeus-invests-in-AI-specialist-Acai-Travel&c=1239967368823544111&mkt=fr-fr,Bing News,"Sun, 01 Jun 2025 20:59:00 GMT","Travel technology company Amadeus has made an unspecified minority investment in New York-based AI specialist Acai Travel. The investment, made via its Amadeus Ventures funding programme, will add to ...",0,Amadeus
"Breaking Travel News interview: Jackson Pek, senior vice president & group general counsel, Amadeus",http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6a6e5ccc72e2429c9c75efdd2bbbd4fe&url=https%3a%2f%2fwww.breakingtravelnews.com%2ffocus%2farticle%2fbreaking-travel-news-interview-jackson-pek-senior-vice-president-group-gene%2f&c=11441600206686109594&mkt=fr-fr,Bing News,"Sun, 23 Jun 2024 17:00:00 GMT","“We have a clear ambition at Amadeus, to ‘make travel a force for good’. “This is an ambition that stretches right across our company – we have universal buy-in,” declares Jackson Pek, senior vice ...",0,Amadeus
Amadeus profit jumps as travel sector continues recovery,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6a6e5ccc72e2429c9c75efdd2bbbd4fe&url=https%3a%2f%2fwww.euronews.com%2fnext%2f2022%2f11%2f05%2famadeus-results&c=5851019230581748042&mkt=fr-fr,Bing News,"Sat, 05 Nov 2022 05:30:00 GMT","MADRID -Spanish travel booking group Amadeus reported a nine-fold leap in adjusted third-quarter profit to 220 million euros ($215 million) on Friday, driven by the travel industry's recovery from the ...",2,Amadeus
"Capgemini workforce grows by 68,200 employees in H1 2026, revenue rises 8.8%",http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6a6e5ccdfc834bedb600964a57179a14&url=https%3a%2f%2fwww.peoplematters.in%2fnews%2fbusiness%2fcapgemini-workforce-grows-by-68200-employees-in-h1-2026-revenue-rises-88percent-51141&c=4091217100605921184&mkt=fr-fr,Bing News,"Wed, 29 Jul 2026 23:04:00 GMT","The IT services company expanded its global workforce to 417,600 following the WNS integration, while raising its 2026 revenue growth outlook on the back of AI-driven demand.",0,Capgemini
Capgemini sees multi-year IT modernisation boom as firms prepare for AI,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6a6e5ccdfc834bedb600964a57179a14&url=https%3a%2f%2fwww.msn.com%2fen-ca%2fmoney%2fgeneral%2fcapgemini-sees-multi-year-it-modernisation-boom-as-firms-prepare-for-ai%2far-AA292e28&c=13278029464263988646&mkt=fr-fr,Bing News,"Thu, 30 Jul 2026 00:33:57 GMT",By Leo Marchandon July 30 (Reuters) - Capgemini Chief Executive Aiman Ezzat said on Thursday that companies hoping to deploy artificial intelligence at scale will first need to modernise decades-old ...,0,Capgemini
Capgemini lifts 2026 revenue growth target on AI transformation demand,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6a6e5ccdfc834bedb600964a57179a14&url=https%3a%2f%2fwww.msn.com%2fen-gb%2fmoney%2fother%2fcapgemini-lifts-2026-revenue-growth-target-on-ai-transformation-demand%2far-AA291Zcc&c=17404049307014973336&mkt=fr-fr,Bing News,"Wed, 29 Jul 2026 23:18:17 GMT","By Leo Marchandon July 30 (Reuters) - French IT group Capgemini raised its 2026 revenue growth target on Thursday, offering fresh evidence that firms using AI are spending more on overhauling core ...",0,Capgemini
Capgemini lifts 2026 target as first-half revenue rises 8.8%,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6a6e5ccdfc834bedb600964a57179a14&url=https%3a%2f%2fwww.globalbankingandfinance.com%2fcapgemini-lifts-2026-target-first-half-revenue-rises-8-8%2f&c=8382137051764193523&mkt=fr-fr,Bing News,"Wed, 29 Jul 2026 22:08:00 GMT","July 30 (Reuters) - French IT group Capgemini raised its 2026 revenue growth target on Thursday, offering fresh evidence that firms using AI are spending more on overhauling core systems and business ...",0,Capgemini
England Rugby chooses Capgemini as it targets half a million new fans,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6a6e5ccdfc834bedb600964a57179a14&url=https%3a%2f%2fwww.computerweekly.com%2fnews%2f366641737%2fEngland-Rugby-chooses-Capgemini-as-it-targets-half-a-million-new-fans&c=15364095021502616519&mkt=fr-fr,Bing News,"Wed, 15 Apr 2026 05:30:00 GMT",The Rugby Football Union (RFU) has appointed Capgemini as its digital transformation partner as it sets out on a four-year strategy to grow the sport’s reach. A key part of the plan is to reach new ...,0,Capgemini
Capgemini raises FY revenue target after growth momentum continues in Q2,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6a6e5ccdfc834bedb600964a57179a14&url=https%3a%2f%2fwww.telecompaper.com%2fnews%2fcapgemini-raises-fy-revenue-target-after-growth-momentum-continues-in-q2--1578657&c=9608078182469196868&mkt=fr-fr,Bing News,"Thu, 30 Jul 2026 08:12:00 GMT",IT services and consulting group Capgemini has upgraded its full-year revenue outlook after delivering a third consecutive quarter of double-digit growth in the three months to June. Full-year revenue ...,2,Capgemini
Capgemini to sell the biz that works for US government amid criticism of ICE contract,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6a6e5ccdfc834bedb600964a57179a14&url=https%3a%2f%2fwww.theregister.com%2fon-prem%2f2026%2f02%2f02%2fcapgemini-to-sell-biz-that-has-a-deal-to-help-ice%2f4842109&c=1200927533936941760&mkt=fr-fr,Bing News,"Sun, 01 Feb 2026 22:45:00 GMT","French consulting and tech services giant Capgemini has decided to offload Capgemini Government Solutions (CGS), the entity it uses for some work with the US government – including a controversial gig ...",1,Capgemini
Capgemini upgrades its 2026 outlook,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6a6e5ccdfc834bedb600964a57179a14&url=https%3a%2f%2fwww.taiwannews.com.tw%2fen%2fnews%2f6411277&c=16930658330657702163&mkt=fr-fr,Bing News,"Thu, 30 Jul 2026 06:00:00 GMT","Capgemini’s underlying year-on-year growth rates remained robust in Q2 2026, benefiting from a return to growth in France. With the contribution of WNS and Cloud4C, constant currency growth reached ...",0,Capgemini
Capgemini becomes an official partner of the Tour de France and Tour de France Femmes avec Zwift until 2029,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6a6e5ccdfc834bedb600964a57179a14&url=https%3a%2f%2fwww.letour.fr%2fen%2fnews%2f2025%2fcapgemini-becomes-an-official-partner-of-the-tour-de-france-and-tour-de-france-femmes-avec-zwift-until-2029%2f1324904&c=5382551239242725621&mkt=fr-fr,Bing News,"Thu, 04 Jun 2026 17:00:00 GMT","As part of this new global long-term partnership, Capgemini is the official technology partner of each of these events, bringing its deep expertise in digital ...",0,Capgemini
Capgemini Raises 2026 Revenue Growth Outlook as AI Transformation Demand Accelerates,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6a6e5ccdfc834bedb600964a57179a14&url=https%3a%2f%2fwww.businessworld.in%2farticle%2fcapgemini-raises-2026-revenue-growth-outlook-as-ai-transformation-demand-accelerates-617259&c=6372086543202334763&mkt=fr-fr,Bing News,"Wed, 29 Jul 2026 17:00:00 GMT","The company now expects revenue to grow between 8.5 per cent and 9 per cent at constant currency in 2026, compared with its earlier guidance of 6.5 per cent to 8.5 per cent ...",2,Capgemini
Capgemini named by Gartner® as a Market Shaper in the Gartner® Emerging Market Quadrant for ‘Physical AI Services – Established Vendors’,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6a6e5ccdfc834bedb600964a57179a14&url=https%3a%2f%2ffinance.yahoo.com%2ftechnology%2fai%2farticles%2fcapgemini-named-gartner-market-shaper-063000336.html&c=15507281411880325044&mkt=fr-fr,Bing News,"Wed, 15 Jul 2026 23:30:00 GMT","E-mail: elsa.estager-bergerou@capgemini.com Capgemini named by Gartner® as a Market Shaper in the Gartner® Emerging Market Quadrant for ‘Physical AI Services – Established Vendors’ Paris, July 16, ...",0,Capgemini
Microsoft and Mistral expand strategic partnership to give enterprises and regulated industries frontier AI they can control,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6a6e5cce38c0484090f77b46e01beeee&url=https%3a%2f%2fnews.microsoft.com%2fsource%2f2026%2f07%2f21%2fmicrosoft-and-mistral-expand-strategic-partnership-to-give-enterprises-and-regulated-industries-frontier-ai-they-can-control%2f&c=17946818769446544374&mkt=fr-fr,Bing News,"Tue, 21 Jul 2026 05:31:00 GMT",Category: Company News; Microsoft and Mistral expand strategic partnership to give enterprises and regulated industries frontier AI they can control As Mistral is e ...,0,Mistral AI
MISTRAL AI,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6a6e5cce38c0484090f77b46e01beeee&url=https%3a%2f%2ftelecom.economictimes.indiatimes.com%2ftag%2fmistral%2bai&c=7812717198284712181&mkt=fr-fr,Bing News,"Fri, 20 Feb 2026 18:23:00 GMT","ETTelecom.com brings latest mistral ai news, views and updates from all top sources for the Indian Telecom industry.",0,Mistral AI
European AI gets boost as Dutch tech giant invests €1.3B in France’s Mistral,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6a6e5cce38c0484090f77b46e01beeee&url=https%3a%2f%2fwww.politico.eu%2farticle%2fdutch-asml-invests-in-french-mistral-in-huge-european-ai-team-up%2f&c=5549755514442779203&mkt=fr-fr,Bing News,"Tue, 09 Sep 2025 01:22:00 GMT",Dutch chip tool-maker ASML has announced it will invest €1.3 billion in French artificial intelligence company Mistral in a major boost for Europe's bid to be more technologically sovereign. The ...,0,Mistral AI
